heet //2 //0 //0.25 //0.0
de naam van mijn * is //1 //0 //0.33 //0.25
is de naam //0 //1 //0.33 //0.125
hond //3 //3 //0.5 //0.125
kat //3 //3 //0.5 //0.125
konijn //3 //3 //0.5 //0.125
cavia //3 //3 //0.5 //0.125
parkiet //3 //3 //0.5 //0.125
papegaai //3 //3 //0.5 //0.125
hamster //3 //3 //0.5 //0.125
vis //3 //3 //0.5 //0.125
goudvis //3 //3 //0.5 //0.125
paard //3 //3 //0.5 //0.125
pony //3 //3 //0.5 //0.125
puppy //3 //3 //0.5 //0.125
kitten //3 //3 //0.5 //0.125
uitlaten //5 //5 //0.33 //0.125
voeren //5 //5 //0.33 //0.125
aaien //5 //5 //0.33 //0.125
knuffelen //5 //5 //0.33 //0.0
dierenarts //5 //5 //0.15 //0.25
