{phone_number} //-1 //-1 //0 //0.45
{email_address} //-1 //-1 //0 //0.35
{first_name} //-1 //-1 //0 //0.25
{family_name} //-1 //-1 //0 //0.25
{date} //-1 //-1 //0 //0.15
[v()] //1 //1 //0.05 //0.0
[Prep()] //1 //0 //0.05 //0.0
apotheek //-1 //-1 //0.45 //0.025
slik //-1 //-1 //0.25 //0.025
slikken //-1 //-1 //0.25 //0.05
gebruiken //-1 //-1 //0.15 //0.05
gebruik //-1 //-1 //0.15 //0.05
gebruikt //-1 //-1 //0.25 //0.1
genomen //-1 //-1 //0.35 //0.2
innemen //-1 //-1 //0.35 //0.15
inname //-1 //-1 //0.35 //0.05
ingenomen //-1 //-1 //0.35 //0.2
dosering //-1 //-1 //0.45 //0.2
doseren //-1 //-1 //0.45 //0.1
tablet //-1 //-1 //0.45 //0.25
capsule //-1 //-1 //0.45 //0.25
tabletten //-1 //-1 //0.45 //0.25
capsules //-1 //-1 //0.45 //0.25
tablet //-1 //-1 //0.45 //0
pil //-1 //-1 //0.45 //0
pillen //-1 //-1 //0.45 //0
injectie //-1 //-1 //0.45 //0.1
geinjecteerd //-1 //-1 //0.45 //0.1
prikken //-1 //-1 //0.25 //0.1
geprikt //-1 //-1 //0.25 //0
bijsluiter //-1 //-1 //0.45 //0.1
medicatie //-1 //-1 //0.45 //0
medicijnen //-1 //-1 //0.45 //0
medicijn //-1 //-1 //0.45 //0
arts //-1 //-1 //0.45 //0.1
dokter //-1 //-1 //0.45 //0.1
huisarts //-1 //-1 //0.45 //0.1
recept //-1 //-1 //0.45 //0
herhaalrecept //-1 //-1 //0.45 //0
