heet //0 //2 //0.25 //0.0
de naam van * * is //0 //1 //0.33 //0.0
is de naam //1 //0 //0.25 //0.0
hond //3 //3 //0.5 //0.125
kat //3 //3 //0.5 //0.125
konijn //3 //3 //0.5 //0.125
cavia //3 //3 //0.5 //0.125
parkiet //3 //3 //0.5 //0.125
papegaai //3 //3 //0.5 //0.125
hamster //3 //3 //0.5 //0.125
vis //3 //3 //0.5 //0.125
goudvis //3 //3 //0.5 //0.125
paard //3 //3 //0.5 //0.125
pony //3 //3 //0.5 //0.125
puppy //3 //3 //0.5 //0.125
kitten //3 //3 //0.5 //0.125
uitlaten //5 //5 //0.33 //0.125
voeren //5 //5 //0.33 //0.125
aaien //5 //5 //0.33 //0.125
knuffelen //5 //5 //0.33 //0.125
dierenarts //5 //5 //0.15 //0.25
ingeslapen //5 //5 //0.15 //0.25
inslapen //5 //5 //0.15 //0.25
lieve //0 //5 //0.1 //0.0
